source,category,mesh,source_material,texture_family,resolution_method,base_color,normal,roughness,metallic,ao,emission,alpha
FBX/Pipes/SM_3DT_Pipe_Piece_A_03.fbx,Pipes,SM_3DT_Pipe_Piece_A_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_A_04.fbx,Pipes,SM_3DT_Pipe_Piece_A_04,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_B_01.fbx,Pipes,SM_3DT_Pipe_Piece_B_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_B_02.fbx,Pipes,SM_3DT_Pipe_Piece_B_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_B_03.fbx,Pipes,SM_3DT_Pipe_Piece_B_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_B_04.fbx,Pipes,SM_3DT_Pipe_Piece_B_04,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_C_01.fbx,Pipes,SM_3DT_Pipe_Piece_C_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_C_02.fbx,Pipes,SM_3DT_Pipe_Piece_C_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_C_03.fbx,Pipes,SM_3DT_Pipe_Piece_C_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_C_04.fbx,Pipes,SM_3DT_Pipe_Piece_C_04,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_C_05.fbx,Pipes,SM_3DT_Pipe_Piece_C_05,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_D_01.fbx,Pipes,SM_3DT_Pipe_Piece_D_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_D_02.fbx,Pipes,SM_3DT_Pipe_Piece_D_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_D_03.fbx,Pipes,SM_3DT_Pipe_Piece_D_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_E_01.fbx,Pipes,SM_3DT_Pipe_Piece_E_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_E_02.fbx,Pipes,SM_3DT_Pipe_Piece_E_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_E_03.fbx,Pipes,SM_3DT_Pipe_Piece_E_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_E_04.fbx,Pipes,SM_3DT_Pipe_Piece_E_04,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_F_01.fbx,Pipes,SM_3DT_Pipe_Piece_F_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_F_02.fbx,Pipes,SM_3DT_Pipe_Piece_F_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_F_03.fbx,Pipes,SM_3DT_Pipe_Piece_F_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_F_04.fbx,Pipes,SM_3DT_Pipe_Piece_F_04,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_G_01.fbx,Pipes,SM_3DT_Pipe_Piece_G_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_G_02.fbx,Pipes,SM_3DT_Pipe_Piece_G_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_G_03.fbx,Pipes,SM_3DT_Pipe_Piece_G_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_G_04.fbx,Pipes,SM_3DT_Pipe_Piece_G_04,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_H_01.fbx,Pipes,SM_3DT_Pipe_Piece_H_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_H_02.fbx,Pipes,SM_3DT_Pipe_Piece_H_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_H_03.fbx,Pipes,SM_3DT_Pipe_Piece_H_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipes_Caged_01.fbx,Pipes,SM_3DT_Pipes_Caged_01,Pipes Caged,Pipes Caged,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipes_Caged_02.fbx,Pipes,SM_3DT_Pipes_Caged_02,Pipes Caged,Pipes Caged,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes Caged/T_3DT_Pipes_Caged_AmbientOcclusion.png,,
FBX/Platform/SM_3DT_Platform.fbx,Platform,SM_3DT_Platform,Platform,Platform,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Platform/T_3DT_Platform__BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Platform/T_3DT_Platform__Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Platform/T_3DT_Platform__Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Platform/T_3DT_Platform__Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Platform/T_3DT_Platform_AmbientOcclusion.png,,
FBX/Props/SM_3DT_Aerial.fbx,Props,SM_3DT_Aerial,Props,Props,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Props/T_3DT_Props_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Props/T_3DT_Props_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Props/T_3DT_Props_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Props/T_3DT_Props_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Props/T_3DT_Props_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Props/T_3DT_Props_Emission.png,
FBX/Props/SM_3DT_Barrel.fbx,Props,SM_3DT_Barrel,Bins,Bins,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_AmbientOcclusion.png,,
FBX/Props/SM_3DT_Bollard_01.fbx,Props,SM_3DT_Bollard_01,LampPostRails,LampPostRails,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Emission.png,
FBX/Props/SM_3DT_Bollard_02.fbx,Props,SM_3DT_Bollard_02,LampPostRails,LampPostRails,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Emission.png,
FBX/Props/SM_3DT_Container_01.fbx,Props,SM_3DT_Container_01,Containers,Containers,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_AmbientOcclusion.png,,
FBX/Props/SM_3DT_Container_02.fbx,Props,SM_3DT_Container_02,Containers,Containers,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Containers/T_3DT_Containers_AmbientOcclusion.png,,
FBX/Props/SM_3DT_Crate.fbx,Props,SM_3DT_Crate,Bins,Bins,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Bins/T_3DT_Bins_AmbientOcclusion.png,,
FBX/Props/SM_3DT_Dumpster.fbx,Props,SM_3DT_Dumpster,Dumpster,Dumpster,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Dumpster/T_3DT_Dumpster_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Dumpster/T_3DT_Dumpster_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Dumpster/T_3DT_Dumpster_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Dumpster/T_3DT_Dumpster_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Dumpster/T_3DT_Dumpster_AmbientOcclusion.png,,
FBX/Props/SM_3DT_Lamp_Ceiling.fbx,Props,SM_3DT_Lamp_Ceiling,LampPostRails,LampPostRails,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_AmbientOcclusion.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/LampPostRails/T_3DT_LampPostRails_Emission.png,
